internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb
SHOPBATTLE,Shop Battle,/game/pc/shop-battle,Kw7Ru05EhV%2F%2F2f0E%2FP4JsU8%2FB350JyEyZv4Wfiaf%2BmA%3D,1,199130,0.28,0.99,1,71.717172,0,,0,0,1031840,1551571200,1685386922,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1031840/capsule_sm_120.jpg?t=1675277842
GROOMER,Groomer,/game/pc/groomer,%2F6n2du3CliAPQxaa0GQ66VPmNrA6Zpz4FIrOrOvblTw%3D,1,199356,0.28,0.99,1,71.717172,0,Mostly Positive,70,24,1003070,1552262400,1685993055,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1003070/capsule_sm_120.jpg?t=1634479955
THROUGHABANDONEDTHEREFUGE,Through Abandoned: The Refuge,/game/pc/through-abandoned-the-refuge,4Gno7kYyYT84915Q8Whk7NlKvRx0N5%2FO%2BrXaEMTQkdU%3D,1,199691,0.28,0.99,1,71.717172,0,Mixed,48,108,1012460,1553472000,1685987268,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1012460/capsule_sm_120.jpg?t=1684541875
OOPSPUZZLES,Oops!!! Puzzles!!!,/game/pc/oops!!!-puzzles!!!,kZzZT09aIg8pM5H2OoFBKxg%2F9GKjq4nx8oC7b629bBw%3D,1,199870,0.28,0.99,1,71.717172,0,,0,0,978580,1553817600,1685388003,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/978580/capsule_sm_120.jpg?t=1558014315
ROYALESTORMBOWLING,Royale Storm Bowling,/game/pc/royale-storm-bowling,8ULUoASKYrCVTUXAaD1%2Fg8CxQTU8WIAJohUH4ScAW2E%3D,1,199872,0.28,0.99,1,71.717172,0,,0,0,1023610,1553817600,1685751657,2.6,https://cdn.cloudflare.steamstatic.com/steam/apps/1023610/capsule_sm_120.jpg?t=1680431388
FRUITMESS,Fruit Mess,/game/pc/fruit-mess,s6%2Fj7VsjbryM67YMRJG6iNZmCk0m0JwB9YaPKuinLpc%3D,1,202348,0.28,0.99,1,71.717172,0,,0,0,1085210,1559952000,1685387992,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1085210/capsule_sm_120.jpg?t=1560021681
PONGLOW,PonGlow,/game/pc/ponglow,wp7u6MMOGU%2B5QwSWFG0CW%2F7Eo%2FDzpYNuhpBZzt8mFks%3D,1,202364,0.28,0.99,1,71.717172,0,Positive,90,11,1091910,1560124800,1685992152,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1091910/capsule_sm_120.jpg?t=1681503114
KINGOFDRAGONBALLS,King of Dragon Balls,/game/pc/king-of-dragon-balls,JMF2QiJ8%2BLeV97ZNXgas8Mqkd%2BafKbk2jWvHuooqVso%3D,1,203426,0.28,0.99,1,71.717172,0,Mixed,66,27,1114000,1563840000,1685995029,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1114000/capsule_sm_120.jpg?t=1680604093
FIERYCATACOMBS,Fiery catacombs,/game/pc/fiery-catacombs,QiWW8%2FvJkj7detr%2FcF1l3Jl3ITKl9m6ADCSkmIfmKfQ%3D,1,204575,0.28,0.99,1,71.717172,0,,0,0,1138150,1567296000,1685386360,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1138150/capsule_sm_120.jpg?t=1684822934
TACTIKK,Tactikk,/game/pc/tactikk,7nw81oJKPMHFltjI363Peh1eLAsw%2FL7Z2CqN8YVHNuc%3D,1,204709,0.28,0.99,1,71.717172,0,,0,0,1144670,1567641600,1685386928,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1144670/capsule_sm_120.jpg?t=1567740358
ICECREAMFANTASY,Ice Cream Fantasy,/game/pc/ice-cream-fantasy,XdSFLlhUetdfJjNIgYrKERXH%2FaHSTOpVFpKyhQqCDdc%3D,1,207480,0.28,0.99,1,71.717172,0,,0,0,1190590,1574380800,1685386394,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1190590/capsule_sm_120.jpg?t=1608385385
SWEETTHOMAS,Sweet Thomas,,vK8x1palXwp90vaA4gmsgvBIhjvpA1UU4qUZkYb%2FT%2BU%3D,1,209229,0.28,0.99,1,71.717172,0,Mostly Positive,70,17,1179540,0,1685993308,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1179540/capsule_sm_120.jpg?t=1684722733
THEPOINTLESSCARCHASE,The Pointless Car Chase,,VD57KaM0IzwBj47iDZcw3teV1c%2Fm%2F2G%2BtrdNVRoXSWk%3D,1,211209,0.28,0.99,1,71.717172,0,,0,0,1123910,0,1685386314,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1123910/capsule_sm_120.jpg?t=1647013698
FRAGILEBOX,Fragile Box,/game/pc/fragile-box,ByVrPejO9S%2Fvouu0FAmCZGSmLOx0IzraOm3skYRJVRg%3D,1,211274,0.28,0.99,1,71.717172,0,Positive,81,27,1244210,1582243200,1686248648,3.3,https://cdn.cloudflare.steamstatic.com/steam/apps/1244210/capsule_sm_120.jpg?t=1582311654
QUICKTRIVIA,Quick Trivia,/game/pc/quick-trivia,xAINHJjGA5d6pjbj5L6gRY8%2BugxsMtmWznJ%2BtczIA8A%3D,1,212056,0.28,0.99,1,71.717172,0,,0,0,1247250,1584403200,1685393725,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1247250/capsule_sm_120.jpg?t=1584470629
DANKOANDTHEMYSTERYOFTHEJUNGLE,Danko and the mystery of the jungle,/game/pc/danko-and-the-mystery-of-the-jungle,VCnPFzesBhPfJQhdu1tVXs15sB%2F2RIYq%2BFd9mTEEzJA%3D,1,212082,0.28,0.99,1,71.717172,0,,0,0,1215340,1584489600,1685383343,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1215340/capsule_sm_120.jpg?t=1684850060
POLARY,Polary,/game/pc/polary,PP%2BsTM4%2BovWvvC8%2Bm5uqaPFsrakhJjFortkITMYFYXY%3D,1,212246,0.28,0.99,1,71.717172,0,Mixed,64,14,1262780,1584662400,1686254969,3.3,https://cdn.cloudflare.steamstatic.com/steam/apps/1262780/capsule_sm_120.jpg?t=1584773718
THEDEED,The Deed,/game/pc/the-deed,UVlwpyi1a1WKL3UIW6kszHTO9Cco5Ufu5yycvvUc%2B%2Bk%3D,1,147151,0.28,0.99,1,71.717172,0,Very Positive,91,1833,420740,1448236800,1685768962,2.6,https://cdn.cloudflare.steamstatic.com/steam/apps/420740/capsule_sm_120.jpg?t=1680432083
POLYGONEER,Polygoneer,/game/pc/polygoneer,FA9DiI5Vv%2BTmk8WO410hEFKYkbvgCWMTNEF2deQX3Bo%3D,1,172361,0.28,0.99,1,71.717172,0,Very Positive,85,194,684680,1503532800,1685837607,2.7,https://cdn.cloudflare.steamstatic.com/steam/apps/684680/capsule_sm_120.jpg?t=1667228759
VIRUSMADNESSDUNGEONSOFYOURBODY,Virus Madness - Dungeons of your Body,/game/pc/virus-madness---dungeons-of-your-body,C5WETzOJcCMEDtyXG17kA4fayBvU7mPjbrKpSFCRGf8%3D,1,216531,0.28,0.99,1,71.717172,0,,0,0,1311210,1590883200,1685386511,1.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1311210/capsule_sm_120.jpg?t=1590915438
GOKARTRACING,Go-Kart Racing,/game/pc/go-kart-racing,KjyxLz2rAS0y8c%2BPEG7uhnMbr4I5j8kzF4eQ4m%2Bs%2Fc8%3D,1,216645,0.28,0.99,1,71.717172,0,Mixed,60,105,844750,1524614400,1685994016,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/844750/capsule_sm_120.jpg?t=1601337591
ROULETTESIMULATOR,Roulette Simulator,/game/pc/roulette-simulator,7nLB%2FKzd%2BwPuIXSYPeG3YBa4lTV2MBFUu85i7KusS7g%3D,1,216646,0.28,0.99,1,71.717172,0,Mixed,53,26,779570,1516320000,1685993822,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/779570/capsule_sm_120.jpg?t=1601337558
